Id,Goal,Duration,Day1PledgedMoney,Day1#Backers,Day1#Tweets,Day1#Replies,Day1#Retweets,Day2PledgedMoney,Day2#Backers,Day2#Tweets,Day2#Replies,Day2#Retweets,Day3PledgedMoney,Day3#Backers,Day3#Tweets,Day3#Replies,Day3#Retweets,Day4PledgedMoney,Day4#Backers,Day4#Tweets,Day4#Replies,Day4#Retweets,Day5PledgedMoney,Day5#Backers,Day5#Tweets,Day5#Replies,Day5#Retweets,Day6PledgedMoney,Day6#Backers,Day6#Tweets,Day6#Replies,Day6#Retweets,Day7PledgedMoney,Day7#Backers,Day7#Tweets,Day7#Replies,Day7#Retweets,Day8PledgedMoney,Day8#Backers,Day8#Tweets,Day8#Replies,Day8#Retweets,Day9PledgedMoney,Day9#Backers,Day9#Tweets,Day9#Replies,Day9#Retweets,Day10PledgedMoney,Day10#Backers,Day10#Tweets,Day10#Replies,Day10#Retweets,State
5531,10000,30,0.072,9.0,1.0,0.0,0.0,0.092,11.0,1.0,0.0,0.0,0.1705,22.0,3.16846430706,0.0,0.0,0.1955,26.0,5.05647841029,0.0,0.0,0.265,33.0,5.21963629881,0.0,0.0,0.5155,39.0,5.3779954259,0.0,0.0,0.53905074114,42.255074114,5.53635455299,0.0,0.0,0.547754751184,43.1254751184,5.69951244151,0.0,0.0,0.556202760933,43.9702760933,5.8578715686,0.0,0.0,0.5815,46.0,6.01657953811,0.0,0.0,1
5532,28000,59,0.163392857143,13.0,2.44657078041,0.0,0.0,0.255178571429,24.0,3.45893945366,0.0,0.0,0.303714285714,31.0,4.68800769237,0.0,0.0,0.42325,41.0,14.2811909341,0.0,0.0,0.476214285714,43.0,17.7404643744,0.0,1.0,0.502678571429,44.0,20.029857448,0.0,1.0,0.530678571429,47.0,20.3579186093,0.0,1.0,0.533,48.0,20.6859797706,0.0,1.0,0.54725,49.0,21.2762287875,0.0,1.0,0.54725,49.0,24.5979016969,0.0,1.0,1
5533,1500,30,0.526666666667,20.0,49.990497716,0.0,11.0,0.59878,26.0,61.6507796353,0.0,11.0,0.814113333333,32.0,70.4201768453,0.0,11.0,1.02411333333,37.0,83.0888525619,0.0,11.0,1.06678,40.0,84.2596680837,0.0,11.0,1.09478,42.0,85.8505483829,0.0,11.0,1.09478,42.0,108.09234544,7.0,11.0,1.27144666667,44.0,118.297678355,7.0,12.0,1.36411333333,46.0,142.039182414,7.03918241384,21.0,1.49678,49.0,145.654898418,8.0,21.0,1
5534,9000,30,0.0111111111111,1.0,1.0,0.0,0.0,0.0111111111111,1.0,1.0,0.0,0.0,0.0166666666667,2.0,1.0,0.0,0.0,0.0166666666667,2.0,1.0,0.0,0.0,0.0166666666667,2.0,1.0,0.0,0.0,0.0166666666667,2.0,1.0,0.0,0.0,0.0166666666667,2.0,1.0,0.0,0.0,0.0166666666667,2.0,1.0,0.0,0.0,0.0166666666667,2.0,1.0,0.0,0.0,0.0166666666667,2.0,1.0,0.0,0.0,0
5535,5000,33,0.4456,75.0,6.2341937478,0.0,0.0,0.6646,121.0,8.43198319292,1.0,0.0,0.7458,139.0,10.1038204608,1.0,0.0,0.822,156.0,10.5379788727,1.0,0.0,0.8808,169.0,10.9866092317,1.0,0.0,0.9404,180.0,11.6365353867,1.0,0.0,1.043,191.0,14.1254319628,1.0,0.0,1.0858,202.0,14.485950096,1.0,0.0,1.1638,220.0,14.8584855002,1.0,0.0,1.2366,236.0,16.6290570101,1.0,0.0,1
5536,14000,30,0.00928571428571,2.0,5.19267572297,0.0,2.0,0.0107142857143,3.0,6.42918454677,0.0,2.0,0.0217857142857,8.0,6.90735386549,0.0,2.0,0.0411428571429,13.0,8.17860433252,0.0,2.0,0.0431130775691,14.1969117479,8.46768318319,0.0,2.0,0.0526796769371,15.1890035342,8.74825971472,0.0,2.0,0.0605,16.0,10.0439147991,0.0,2.0,0.0667193085695,16.7255859998,10.658325479,0.0,2.0,0.0733966867408,17.5046134531,11.0867705455,0.0,2.0,0.0776428571429,18.0,11.2899577746,0.0,2.0,0
5537,1800,60,0.0861111111111,6.0,1.0,0.0,0.0,0.132063415136,10.4217654106,1.13417629187,0.0,0.0,0.169631062861,12.0318074559,1.28406443372,0.0,0.0,0.207198710585,13.6418495013,1.43395257556,0.0,0.0,0.215555555556,14.0,1.57502376788,0.0,0.0,0.215555555556,14.0,1.72491190972,0.0,0.0,0.258883333333,15.0,1.87480005156,0.0,0.0,0.267216666667,16.0,2.01368173645,0.0,0.0,0.267216666667,16.0,2.14289215431,0.0,0.0,0.289438888889,18.0,2.27210257217,0.0,0.0,0
5538,6000,40,0.0390714637254,5.84082235293,2.3808087755,0.0,0.0,0.0716666666667,12.0,2.85379246451,0.0,0.0,0.0741666666667,13.0,4.69489592908,0.0,0.0,0.0908333333333,14.0,5.62764270301,0.0,0.0,0.125,18.0,6.68383347225,0.0,0.0,0.221666666667,23.0,8.76401847595,0.0,0.0,0.2325,25.0,9.44171857025,0.0,0.0,0.240833333333,26.0,9.98555270628,0.0,0.0,0.259166666667,27.0,10.4243093679,0.0,0.0,0.271666666667,30.0,10.8601984003,0.0,0.0,1
5539,300,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5540,5000,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5541,10000,40,0.02,2.0,0.0,0.0,0.0,0.02,2.0,0.0,0.0,0.0,0.02,2.0,0.0,0.0,0.0,0.02,2.0,0.0,0.0,0.0,0.02,2.0,0.0,0.0,0.0,0.02,2.0,0.0,0.0,0.0,0.02,2.0,0.0,0.0,0.0,0.02,2.0,0.0,0.0,0.0,0.02,2.0,0.0,0.0,0.0,0.03,3.0,0.0,0.0,0.0,0
5542,30000,49,0.0835666666667,13.0,5.19191737187,0.0,3.0,0.116866666667,16.0,5.48743112939,0.0,3.0,0.129533333333,18.0,5.76887280321,0.0,3.0,0.152866666667,20.0,6.07468372085,0.0,3.0,0.1745,22.0,6.40113556369,0.0,3.0,0.186966666667,27.0,6.72758740653,0.0,3.0,0.199333333333,30.0,8.47673974394,0.0,3.0,0.269366666667,37.0,14.4315011811,0.0,5.0,0.311633333333,40.0,22.8020010213,0.0,6.0,0.311666666667,41.0,25.4654759705,0.0,6.0,0
5543,10000,59,0.0085,1.0,1.0,0.0,0.0,0.0185,2.0,1.09491181577,0.0,0.0,0.0185,2.0,1.23024761166,0.0,0.0,0.0445,5.0,1.36558340755,0.0,0.0,0.0545,7.0,1.50091920344,0.0,0.0,0.0695,8.0,1.63625499932,0.0,0.0,0.0695,8.0,1.77159079521,0.0,0.0,0.0695,8.0,1.9069265911,0.0,0.0,0.0695346360637,8.34636063739,2.0,0.0,0.0,0.0695720593494,8.72059349357,2.0,0.0,0.0,0
5544,60000,35,0.236765898251,78.1396926338,38.6592390519,1.0,8.65923905188,0.332683333333,122.0,63.7071800262,2.0,15.7071800262,0.45795,165.0,91.0742839216,2.0,27.0,0.528033333333,183.0,106.069392047,4.0,30.0,0.584403753755,200.201501502,124.073547094,5.0,34.0,0.926643643644,307.857457458,143.319073107,5.0,35.0,1.14810434262,371.814551317,149.149041468,5.0,35.0,1.23113938761,396.235005694,149.443976399,5.0,35.0,1.31131115518,419.813375438,149.72874116,5.0,35.0,1.40000191959,444.0,150.854411836,5.0,35.0,1
5545,2000,35,0.097,10.0,1.17233354563,0.0,0.0,0.0975,11.0,1.37909101787,0.0,0.0,0.0975,11.0,1.59323268556,0.0,0.0,0.0975,11.0,1.79999015781,0.0,0.0,0.0975,11.0,2.00936812176,0.0,0.0,0.0975,11.0,2.14642961997,0.0,0.0,0.0975,11.0,2.28838617168,0.0,0.0,0.1525,14.0,2.4303427234,0.0,0.0,0.1525,14.0,2.56740422161,0.0,0.0,0.1525,14.0,2.70936077333,0.0,0.0,0
5546,10000,31,0.0025,1.0,0.0,0.0,0.0,0.0035,3.0,0.0,0.0,0.0,0.004,4.0,0.0,0.0,0.0,0.004,4.0,0.0,0.0,0.0,0.004,4.0,0.0,0.0,0.0,0.004,4.0,0.0,0.0,0.0,0.004,4.0,0.0,0.0,0.0,0.004,4.0,0.0,0.0,0.0,0.004,4.0,0.0,0.0,0.0,0.004,4.0,0.0,0.0,0.0,0
5547,1000,30,0.091,4.0,1.0,0.0,0.0,0.141,5.0,1.0,0.0,0.0,0.146,6.0,1.0,0.0,0.0,0.196,7.0,1.0,0.0,0.0,0.196,7.0,1.0,0.0,0.0,0.196,7.0,1.0,0.0,0.0,0.321,8.0,1.0,0.0,0.0,0.321,8.0,1.0,0.0,0.0,0.321,8.0,1.0,0.0,0.0,0.321,8.0,1.0,0.0,0.0,1
5548,1000,30,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,2.0,1.0,0.0,0.0,0.01,2.0,1.0,0.0,0.0,0.01,2.0,1.0,0.0,0.0,0.01,2.0,1.0,0.0,0.0,0.01,2.0,1.0,0.0,0.0,0
